SampleID,Site,Date,Type,Rep,Source,Group,Site_Type
BLUE.20190711.EPILITHON.7,BLUE,20190711,EPILITHON,7,benthic,5,BLUE_EPILITHON
BLUE.20190711.EPILITHON.8,BLUE,20190711,EPILITHON,8,benthic,5,BLUE_EPILITHON
BLUE.SS.20190716,BLUE,20190716,SS,1,surface,5,BLUE_SS
KING.20190723.EPILITHON.1,KING,20190723,EPILITHON,1,benthic,5,KING_EPILITHON
KING.20190723.EPILITHON.2,KING,20190723,EPILITHON,2,benthic,5,KING_EPILITHON
KING.20190723.EPILITHON.3,KING,20190723,EPILITHON,3,benthic,5,KING_EPILITHON
KING.20190723.EPILITHON.4,KING,20190723,EPILITHON,4,benthic,5,KING_EPILITHON
KING.20190723.EPILITHON.5,KING,20190723,EPILITHON,5,benthic,5,KING_EPILITHON
KING.20190723.EPILITHON.6,KING,20190723,EPILITHON,6,benthic,5,KING_EPILITHON
KING.20190723.EPILITHON.7,KING,20190723,EPILITHON,7,benthic,5,KING_EPILITHON
KING.20190723.EPILITHON.8,KING,20190723,EPILITHON,8,benthic,5,KING_EPILITHON
KING.SS.20190708,KING,20190708,SS,1,surface,5,KING_SS
MCDI.20190724.EPILITHON.1,MCDI,20190724,EPILITHON,1,benthic,5,MCDI_EPILITHON
MCDI.20190724.EPILITHON.2,MCDI,20190724,EPILITHON,2,benthic,5,MCDI_EPILITHON
MCDI.20190724.EPILITHON.3,MCDI,20190724,EPILITHON,3,benthic,5,MCDI_EPILITHON
MCDI.20190724.EPILITHON.4,MCDI,20190724,EPILITHON,4,benthic,5,MCDI_EPILITHON
MCDI.20190724.EPILITHON.5,MCDI,20190724,EPILITHON,5,benthic,5,MCDI_EPILITHON
MCDI.20190724.EPILITHON.6,MCDI,20190724,EPILITHON,6,benthic,5,MCDI_EPILITHON
REDB.20190715.EPILITHON.1,REDB,20190715,EPILITHON,1,benthic,5,REDB_EPILITHON
REDB.20190715.EPILITHON.2,REDB,20190715,EPILITHON,2,benthic,5,REDB_EPILITHON
REDB.20190715.EPILITHON.3,REDB,20190715,EPILITHON,3,benthic,5,REDB_EPILITHON
